ID Score    
P62424 6.132067090163144e+91
P62829 6.0837128595801295e+91
P62249 6.0786493389047e+91
P04792 6.035382847261273e+91
P61313 6.0096289092842244e+91
O60506 5.984486374004819e+91
P62750 5.974733504106283e+91
P62244 5.941887797742057e+91
P46781 5.854600240879904e+91
P08865 5.853340077529614e+91
P13639 5.833646146837023e+91
P62258 5.775312353676676e+91
P62280 5.760971134981977e+91
P78527 5.734124714525384e+91
Q9HCE5 5.697815482747639e+91
Q9BQ67 5.676943477583026e+91
P22626 5.645680995743329e+91
Q00987 5.5375066505886106e+91
P62081 5.532598864830598e+91
P31943 5.5094014791581675e+91
P62269 5.4941207735016835e+91
P08107 5.4505121566382676e+91
P62851 5.4457005014906754e+91
P35244 5.4371975494373426e+91
P48431 5.424143710969985e+91
P54252 5.4003823399892205e+91
P07437 5.3816052318944584e+91
P54578 5.373089747390295e+91
Q02543 5.358620372656836e+91
P63104 5.347208716241055e+91
P46782 5.294224712147027e+91
O43390 5.2815155856304666e+91
P83731 5.2569524006810495e+91
P38646 5.244669685151304e+91
P67809 5.23547264831886e+91
P62136 5.198565713112779e+91
P32969 5.1879137523885525e+91
P62899 5.1673295195863565e+91
P60709 5.159753540609339e+91
P60866 5.099124491854699e+91
Q9UQL6 5.0972999480699814e+91
P25705 5.097291368794834e+91
O00567 5.065797796346462e+91
P84098 5.040328235341283e+91
P62888 5.035863983069633e+91
P49841 4.978331326601809e+91
Q9UQ35 4.97571531941092e+91
O43143 4.9015620705810985e+91
P62877 4.8908444373797584e+91
P18621 4.8811897899219005e+91
P13010 4.876065139573902e+91
P61353 4.875052089903905e+91
P27695 4.848899870803264e+91
P46783 4.839586943753191e+91
Q504Q3 4.8373485416115766e+91
P62266 4.8187271362651445e+91
P09874 4.810970288611102e+91
P63244 4.792724040052617e+91
Q9Y230 4.78797332140436e+91
Q6UX01 4.7808674764584505e+91
P39019 4.757156084050691e+91
P27824 4.748966068935257e+91
P34932 4.742062100042303e+91
O00571 4.730642010164357e+91
