ID	Score  
Q9H4M7	1110.2252350710417
P01106	779.7456776355106
P62805	747.7724875336587
P04629	694.5840380106549
Q92731	668.261469742887
P05067	663.5414071010428
Q15717	660.6480774543488
Q14258	639.7425273424687
Q15029	554.7227658827501
O94761	478.42114561491644
P49116	432.84375515807
Q13489	432.7330183950111
Q13618	427.25140057023054
P04637	388.5205530881359
P08621	369.9162677515858
P35232	368.91529812453365
P0CG48	352.0849431623329
P38398	339.09757962147717
Q13263	331.9598069192464
P01116	330.4426908355521
P14866	321.8160132723659
O14980	320.34011470738346
P00533	314.97657256516374
Q4G0J3	281.66928079083823
Q9H6Z9	275.94467949726135
P49736	272.3195105382028
Q86VP6	271.2537389306669
P07900	270.6030018918756
P55072	268.37583649924727
P78317	266.86018971180647
O95793	251.1629762830532
Q14839	246.36219847104877
P11142	240.43664744025645
P06748	237.22394719715766
O94992	236.5602519061553
P03372	233.05946502827246
Q9UBU9	227.45957338405142
Q92905	224.07557070875993
Q00839	219.80222796903843
P68431	218.45403746426408
Q6P2Q9	217.44981509766592
O75147	214.93692614820458
O00308	213.65440556707665
Q13616	211.43332601531947
P09651	206.43322407759285
Q9BXW9	203.97552232731837
Q7L2J0	203.90256291131365
Q12873	202.33737566822006
Q99496	202.23899005907384
Q09472	201.49978556776662
Q14999	199.38089385078612
P62753	198.75337915512753
P35222	196.08563291856578
P24941	192.42045216133408
Q9NQC7	186.4877947310082
O95994	186.44251566629575
Q8NFZ5	184.45704288426523
Q92769	179.62811261318333
Q01844	177.4577710539635
P12956	174.89257913973785
Q13547	173.7933356674681
P36873	173.727243254229
Q15910	173.49423437337293
P02751	173.04055369957135
Q99459	171.26013759450822
P02545	163.95124918889314
Q9HCE1	161.9408264290462
P61081	161.34912453586833
P35637	161.20328019701003
P19338	157.54380396451987
P27694	152.30326174992803
P27824	152.0170625533333
Q9Y312	151.30223888791278
Q13573	151.06939563770942
Q9NRC8	150.58530794434083
Q9NWS0	148.88157168912255
P46937	145.38462779919288
P11021	145.2041412051876
Q9HBD1	144.3492958039497
P62993	142.8936035386678
Q7Z6Z7	142.0767153706779
Q5TC82	142.04050450625348
P27635	141.97990925526554
P13569	141.4129453908145
P62241	140.79003391074664
O75530	139.6987678426057
P50750	135.8056735181128
P10809	135.57106368421753
P22087	134.15918184616208
Q676U5	132.86637115420473
Q02878	130.95365136420958
Q13620	130.46429727338116
Q15365	130.1512330815862
Q15022	128.59486541005666
P15927	127.78628865906978
P23396	126.330383759815
Q07020	126.09114500935524
P15880	125.77364887667795
P68400	122.33474737308688
P26368	121.61407850917557
P27695	121.00716494320973
P60484	120.1361560515291
P63279	118.36269142987902
P50914	118.168985656347
P46777	118.04102657002987
P62701	116.20500301649527
P61247	116.12405726167269
Q6UX01	115.47995953879852
Q13148	115.3988423665761
Q93034	115.3784952925333
Q9BRS2	115.06590313523019
P18124	115.02789513995295
P63104	114.5131274425733
Q12906	113.63960237478598
P43243	112.9992214772506
P08238	112.97213840698657
Q13283	112.4364797238933
P68104	112.42356207004545
Q00987	112.07606550159205
Q14103	111.98627041659651
P68032	111.76713354534725
P36578	111.69659271562504
P27348	111.41471820627528
P62263	110.82921164523312
P62258	110.70678339207292
Q02543	109.53803490353745
P62917	109.45371819137124
Q9H0W5	108.42596614465968
P12830	107.4882983940048
P62277	106.27348500620272
P49841	106.2666109983582
P04792	105.77323598261918
Q9NPI1	105.33056390651548
P62249	105.30629975138093
P62750	105.14302362333741
P62136	104.77343247530553
Q12905	104.57944685800828
P62244	103.09648281795428
P26373	103.03648046495387
P62906	102.80995105178758
P05388	102.47896580584884
P62913	102.43250493439142
P62829	102.09914310573564
O60260	102.02616191359678
P62424	102.01134630853832
P39023	101.90875794127722
P13612	101.66512363619766
