ID Score  
P05067 0.10061569880796914
Q15717 0.05881483300809801
Q9H4M7 0.040579786693633935
Q14258 0.03387316546661879
Q92731 0.028619483621840667
P14866 0.021549466787686586
P01106 0.020531979423582317
P04629 0.01853460769429204
P01116 0.017258666798591258
P00533 0.013988180512893028
P62805 0.013783687887489382
P04637 0.012694881384392632
O14980 0.012440158844816479
P78317 0.012208061440611359
P0CG48 0.011418167555743817
Q13618 0.01104490417465159
P07900 0.010079870621949361
Q9UBU9 0.009413427681597383
Q9H6Z9 0.009399866141764829
P27695 0.008906570814055745
O94761 0.007370167079190273
P55072 0.0073630420671601015
Q9HCE1 0.007054438199230976
P38398 0.006912851453432676
P41240 0.006843273203194966
P49116 0.006444442706055483
Q5XPI4 0.006425160378444299
Q13489 0.0063072706981414746
Q13263 0.00625882366555208
Q8NFZ5 0.006095608119003974
P62993 0.005924076528871883
Q01844 0.00577980135993371
P02545 0.005687941989211535
Q15029 0.005530620017942338
O95994 0.005374444429163238
P35222 0.005307102061973821
P11142 0.005017546501376359
Q09472 0.004862542208269117
Q6UX01 0.004824379237344852
P02751 0.004752905171673137
P49736 0.004662429499424006
Q9UHD9 0.004585015283605779
O60341 0.0045518388391004305
P50222 0.004537755440370843
Q92905 0.004439127058271934
P03372 0.00430697439587437
Q12933 0.0042850076461401305
P27824 0.004204722155284052
Q8TBB1 0.004131102895651894
P13569 0.004065432504367806
P49841 0.003962994552594081
P63279 0.003926274633847886
Q676U5 0.0038761457208442832
P36873 0.003539363356197919
P60484 0.0034662803989184768
P12956 0.0034343740595553524
Q13616 0.0034234196743067533
Q13547 0.003291079895824731
Q9NQC7 0.0032450022931644683
O95817 0.003212568613501254
P62158 0.003200782908636614
Q4G0J3 0.0031749884736463245
Q15910 0.0031006579704227584
P11021 0.0030908598812992567
P01112 0.003082623824957686
P24941 0.0030707259115402633
Q9UMX0 0.0030231831486838487
P46379 0.0030121549390831463
P10809 0.0029628561001597145
Q13501 0.002944843791565616
O75147 0.0029417915988024495
P12830 0.0029160481781806474
O94992 0.002891424454136035
P68400 0.002882465036822229
Q16659 0.0028428069114691096
A8MQ03 0.0028425697405941217
Q92769 0.00279498137610616
P35232 0.0027222852094100514
P68431 0.002721931823030524
O14964 0.0026856300013813447
P04792 0.0026854767852439337
P63104 0.002672457664862015
P27348 0.0026475189778877493
Q08379 0.002645360136927712
Q00987 0.002616847308884459
P62136 0.0026086979836483204
Q9Y3I1 0.002587533282215141
P06748 0.00257462005403269
P08621 0.002556817967198766
P46934 0.0025235898680379134
Q99496 0.0025124933182256613
Q99750 0.002467740543548904
