ID	Score  
P47755	243.0
O43390	243.0
O43143	242.0
P49407	242.0
Q9Y2I6	242.0
Q9BQE3	242.0
P49411	241.0
Q14197	241.0
O60216	241.0
P50991	241.0
P62888	240.0
P61221	239.0
Q8NBF2	239.0
P23246	239.0
Q09028	238.0
P61077	238.0
P55317	238.0
O75533	237.0
P17980	237.0
Q14203	237.0
Q15323	237.0
P50990	237.0
Q13200	237.0
P42704	236.0
Q9BRK4	236.0
P61289	236.0
P62244	236.0
P29353	236.0
Q6ZW49	236.0
P55036	235.0
P48643	235.0
Q86V81	234.0
Q96CS3	234.0
P06400	234.0
P62249	234.0
P62277	234.0
P60033	234.0
P04150	233.0
Q6IN84	232.0
P62750	232.0
Q92538	231.0
Q04864	231.0
P14625	231.0
Q15796	231.0
P07910	230.0
P60953	228.0
O00571	228.0
P62906	228.0
Q13077	228.0
P52292	227.0
Q13418	227.0
P61088	227.0
P37231	227.0
Q16695	227.0
Q9C0B0	227.0
Q96B97	226.0
P62424	226.0
P56545	226.0
Q16637	226.0
Q16643	226.0
P61313	226.0
Q13127	226.0
O75665	225.0
P62280	225.0
Q9H3D4	224.0
P62081	224.0
P19784	224.0
P30050	224.0
Q15154	224.0
P31689	224.0
P51149	223.0
P31040	223.0
Q8N122	223.0
Q07021	222.0
P07550	222.0
Q96SB4	221.0
Q15233	221.0
P61513	221.0
Q92804	220.0
P45880	220.0
P33993	220.0
Q99460	220.0
Q15118	219.0
P26641	219.0
Q16539	219.0
O75643	218.0
P83731	218.0
P46781	218.0
Q9BV73	218.0
Q15287	218.0
P40939	218.0
P62820	218.0
Q9NS69	218.0
Q96ST3	217.0
Q9UBS0	217.0
P55084	217.0
Q13137	217.0
O15379	217.0
P39019	216.0
Q92841	216.0
P46531	216.0
Q92785	216.0
P22695	216.0
Q01196	216.0
Q86UE4	215.0
P20618	215.0
Q15393	215.0
Q96FW1	215.0
P11802	214.0
Q07666	214.0
P46782	214.0
P60866	214.0
Q9UBB9	214.0
Q13363	214.0
P61964	213.0
P15336	213.0
P48729	213.0
Q96GG9	213.0
P62269	213.0
Q8N726	213.0
P11387	213.0
Q99497	212.0
Q04917	212.0
P46108	211.0
P10636	211.0
P37840	211.0
Q9NUX5	210.0
O00429	210.0
P35998	210.0
Q9H9S0	210.0
Q9NWT8	209.0
P46783	209.0
P63167	209.0
Q8WWY3	208.0
O75489	208.0
P32969	208.0
Q9Y5K5	207.0
Q96PK6	207.0
O00159	207.0
P04843	207.0
P62851	207.0
P42345	207.0
Q07955	206.0
P42766	206.0
P61956	205.0
Q13838	205.0
Q9UMS4	204.0
P61353	204.0
P24385	204.0
O75031	203.0
Q14498	203.0
Q13465	202.0
Q12824	202.0
Q9H9B4	202.0
Q66K64	202.0
Q13509	201.0
Q13813	201.0
Q9Y277	201.0
P04049	201.0
P50897	200.0
Q9Y2D8	200.0
P01137	199.0
Q86YT6	199.0
P05141	199.0
Q16576	199.0
P62899	199.0
O75400	198.0
Q9UNP9	198.0
Q99873	197.0
Q00325	197.0
P63000	197.0
P68366	197.0
P25791	197.0
Q86U44	196.0
P47897	196.0
Q96GD4	196.0
P14923	196.0
Q99816	195.0
P27361	194.0
O75376	194.0
Q16891	194.0
Q93062	194.0
P51858	194.0
P84098	194.0
Q9UJV3	193.0
Q9UM54	193.0
Q15459	193.0
P04183	193.0
Q9Y383	192.0
P68371	192.0
P62847	192.0
P35268	192.0
Q8NHQ1	192.0
P18621	192.0
P46778	191.0
Q9ULK4	191.0
Q9BVG8	191.0
Q96J02	191.0
Q14204	191.0
Q06124	191.0
P61326	191.0
P62491	190.0
P62266	190.0
Q13315	190.0
Q9NRM7	190.0
P55769	190.0
P19838	190.0
Q9NYB9	189.0
P49459	189.0
P36542	189.0
P23528	188.0
P06241	188.0
P26599	188.0
O95071	188.0
P00519	188.0
Q15051	187.0
P62191	187.0
Q13310	187.0
Q9NRR5	187.0
P00338	187.0
Q15654	187.0
Q96PU5	186.0
P31948	186.0
O43463	186.0
Q14192	186.0
P55209	186.0
P56537	186.0
Q9C0C7	186.0
P05387	186.0
Q9Y4X5	185.0
Q7Z3S9	185.0
Q8WVC0	185.0
O75367	185.0
P25054	185.0
Q9BY14	185.0
P38159	185.0
O95433	185.0
P46776	184.0
Q9BXB1	184.0
P63172	184.0
P62854	184.0
Q92831	183.0
Q96GM5	183.0
Q8IYB3	183.0
Q05513	182.0
Q06830	182.0
Q93008	182.0
P45983	182.0
Q9UQE7	182.0
Q13309	182.0
P84103	182.0
P42224	182.0
Q96AJ1	181.0
P27708	181.0
P07237	181.0
P62314	181.0
Q14683	181.0
Q9NR30	181.0
Q15691	181.0
Q7KZN9	180.0
O43242	180.0
P25205	180.0
Q8N6Y0	180.0
Q92499	179.0
P29692	179.0
Q15370	179.0
P46087	179.0
Q9Y5B9	178.0
Q13469	178.0
Q9ULV4	178.0
Q13895	178.0
P29401	178.0
P07948	178.0
Q99986	177.0
O14641	177.0
Q13485	177.0
P13073	177.0
O00231	177.0
P68036	177.0
O15027	177.0
Q9UER7	177.0
Q9H2C0	176.0
Q13435	176.0
P46779	176.0
Q96T76	176.0
P22314	175.0
Q7Z2W4	175.0
P54725	175.0
Q9Y2W1	175.0
P45973	175.0
P36406	175.0
Q9Y3U8	174.0
P42677	174.0
Q5T3J3	174.0
O43639	174.0
Q08380	174.0
P43686	174.0
Q13185	174.0
P05161	174.0
Q07817	173.0
Q9HC52	173.0
P98170	173.0
P49336	173.0
P23588	172.0
O96008	172.0
Q15050	172.0
Q92900	172.0
P07195	172.0
P60900	172.0
P62937	172.0
P35613	171.0
P63261	171.0
P10599	171.0
P62333	171.0
Q8TCJ0	171.0
P05386	171.0
Q8TAQ2	170.0
O43395	170.0
Q9UM11	170.0
P05023	170.0
P21860	170.0
O95292	170.0
P15884	170.0
Q96G01	170.0
P51991	170.0
P07814	170.0
Q92997	169.0
Q15020	169.0
Q9BYV2	169.0
P09661	169.0
O15160	169.0
P13693	169.0
Q12834	168.0
Q92844	168.0
P27797	168.0
P27540	168.0
P51784	168.0
P15923	168.0
P62841	168.0
P05362	168.0
O96017	167.0
P63165	167.0
P61244	167.0
Q15428	167.0
Q86TM6	167.0
P28066	167.0
Q01082	167.0
Q9Y5V3	166.0
P17931	166.0
Q92922	166.0
P0CG47	166.0
Q96CV9	166.0
P51116	166.0
O43318	166.0
Q0VD86	166.0
Q9P2J5	166.0
Q8IUH5	166.0
P52815	166.0
O43865	166.0
P35228	166.0
P62979	166.0
P25398	165.0
P62316	165.0
Q969P0	165.0
O75604	164.0
P63173	164.0
P34947	164.0
P62318	164.0
Q9UKV8	163.0
Q13643	163.0
Q13595	163.0
P40429	163.0
O00232	163.0
Q9GZR7	163.0
P62826	163.0
P49959	163.0
P61962	162.0
P08069	162.0
O43175	162.0
Q13490	162.0
P12814	162.0
P51148	162.0
Q14145	162.0
Q16629	162.0
P68363	162.0
Q9BUJ2	161.0
Q9UHX1	161.0
Q9BYG3	161.0
Q03135	161.0
P14678	161.0
Q49AN0	161.0
P30101	161.0
P17813	160.0
Q06609	160.0
Q09161	160.0
Q00534	160.0
P28331	159.0
Q9Y2X3	159.0
Q08945	159.0
O14920	159.0
Q9NZI8	159.0
Q9BWF3	159.0
P49327	159.0
P19438	159.0
Q02539	159.0
P49639	159.0
Q9NR12	159.0
Q9UKT9	158.0
P47756	158.0
Q63HR2	158.0
Q13409	158.0
O96019	158.0
P20226	158.0
P43246	158.0
Q04837	158.0
Q04695	158.0
Q8TD31	158.0
P43699	158.0
P49792	158.0
P49711	158.0
P17252	158.0
Q15637	158.0
Q7KZF4	157.0
P62306	157.0
P78347	157.0
Q15645	157.0
P30876	156.0
P32119	156.0
O60264	156.0
Q8IUQ4	156.0
Q9BZE4	156.0
Q9BQG0	156.0
P29350	156.0
P11177	156.0
Q15650	156.0
Q71DI3	155.0
Q04637	155.0
P55060	155.0
Q01081	155.0
Q8IY81	155.0
P15374	154.0
Q86X55	154.0
P27105	154.0
Q9UHD2	154.0
P51587	154.0
O43765	154.0
Q9UQ80	154.0
P62304	154.0
O43809	154.0
O60832	154.0
Q9H3F6	153.0
Q8N9N5	153.0
P26196	153.0
Q9NYB0	153.0
Q9UBT2	153.0
P61586	153.0
Q8N6T7	153.0
O94776	152.0
Q04323	152.0
Q13885	152.0
P07355	152.0
P34931	152.0
Q9UI95	151.0
P06753	151.0
P62910	151.0
Q14457	151.0
O14579	150.0
P53621	150.0
O14979	150.0
O14757	150.0
Q14152	150.0
O60232	150.0
Q9P0N5	150.0
Q9HAZ2	150.0
P49768	150.0
Q13625	149.0
Q05516	149.0
O14818	149.0
Q9H0D6	149.0
P49840	149.0
P16615	148.0
O43172	148.0
P41252	148.0
O00267	148.0
O00743	148.0
P02768	148.0
P25787	148.0
Q969G3	148.0
O95400	148.0
Q92598	147.0
Q9H492	147.0
O95816	147.0
Q12874	147.0
P33991	147.0
O15111	147.0
O43707	147.0
P62995	147.0
P49674	147.0
P25789	147.0
Q99798	146.0
O43482	146.0
P60842	146.0
O00541	146.0
P19388	146.0
P20339	146.0
P11362	146.0
Q01105	146.0
Q99848	145.0
Q13561	145.0
P10276	145.0
Q14790	145.0
O14880	145.0
P51151	145.0
Q16795	145.0
Q12931	145.0
P05455	145.0
P00558	145.0
P04075	145.0
Q9NQB0	145.0
P16403	144.0
Q9H8Y8	144.0
P0CW22	144.0
Q8TAP6	144.0
Q92734	144.0
P38606	144.0
Q562R1	144.0
P41182	144.0
Q8IY57	144.0
P40222	143.0
Q96SW2	143.0
Q8N3V7	143.0
Q8N163	143.0
P62857	143.0
P62714	143.0
Q96AG4	142.0
Q99729	142.0
Q15008	142.0
P25490	142.0
Q15388	142.0
Q15369	142.0
O43741	142.0
P19474	142.0
O60884	142.0
P84243	142.0
Q6PKG0	142.0
P11388	142.0
P78406	142.0
Q9NQW6	142.0
P62633	142.0
Q9Y5M8	141.0
Q14978	141.0
P42696	141.0
Q13422	141.0
P40692	141.0
P01100	141.0
Q96S59	141.0
Q8ND90	141.0
Q8N5R6	141.0
O14654	140.0
P52294	140.0
Q9UJX2	140.0
O75478	140.0
P20700	140.0
P48047	140.0
P16220	140.0
P22061	140.0
P46060	140.0
Q14566	140.0
O15294	140.0
O75396	139.0
Q96CW5	139.0
P61160	139.0
P55081	139.0
Q16526	139.0
Q9H0I2	139.0
P51965	139.0
Q9C086	139.0
P60174	139.0
Q9UKM9	138.0
P17612	138.0
Q9NVP1	138.0
Q92945	138.0
P68133	138.0
O43290	138.0
Q5VYK3	138.0
P61254	138.0
P49821	138.0
P09012	138.0
Q2NL82	138.0
Q9Y5B0	137.0
Q15025	137.0
Q15038	137.0
P52732	137.0
Q05397	137.0
P12268	137.0
Q14697	137.0
Q96AP4	136.0
Q92574	136.0
Q9UJC3	136.0
P54727	136.0
P19174	136.0
Q4VCS5	136.0
Q9GZS3	136.0
P12236	136.0
P18077	136.0
P18031	136.0
P14635	136.0
Q99471	136.0
Q13243	136.0
P55795	136.0
Q96KQ7	136.0
Q13114	136.0
P54132	136.0
Q15750	136.0
O15350	136.0
P42566	135.0
